TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,Mglob,Nglob,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,DX,DY,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,THORN_1,EPSILON,TAU_1,k,L,kh,failed_checks,COMBO_NUM
DYNAMIC,32,1,FLAT,3.0,7631,3,450.0,1.0,0.1,25.0,0.18119104698568644,0.18119104698568644,WK_REG,3.0,63.41686644499026,0.15000000000000002,3.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,50.73349315599221,50.73349315599221,0.0,0.1,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,70.0,0.05,150,0.495387556923032,12.683373288998052,1.486162670769096,filter_L70,156
DYNAMIC,32,1,FLAT,3.0,7631,3,450.0,1.0,0.1,25.0,0.18119104698568644,0.18119104698568644,WK_REG,3.0,63.41686644499026,0.15000000000000002,3.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,50.73349315599221,50.73349315599221,0.0,0.2,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,70.0,0.05,150,0.495387556923032,12.683373288998052,1.486162670769096,filter_L70,157
DYNAMIC,32,1,FLAT,3.0,7631,3,450.0,1.0,0.1,25.0,0.18119104698568644,0.18119104698568644,WK_REG,3.0,63.41686644499026,0.15000000000000002,3.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,50.73349315599221,50.73349315599221,0.0,0.3,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,70.0,0.05,150,0.495387556923032,12.683373288998052,1.486162670769096,filter_L70,158
DYNAMIC,32,1,FLAT,3.0,7631,3,450.0,1.0,0.1,25.0,0.18119104698568644,0.18119104698568644,WK_REG,3.0,63.41686644499026,0.15000000000000002,3.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,50.73349315599221,50.73349315599221,0.0,0.4,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,70.0,0.05,150,0.495387556923032,12.683373288998052,1.486162670769096,filter_L70,159
DYNAMIC,32,1,FLAT,3.0,7631,3,450.0,1.0,0.1,25.0,0.18119104698568644,0.18119104698568644,WK_REG,3.0,63.41686644499026,0.15000000000000002,3.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,50.73349315599221,50.73349315599221,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,70.0,0.05,150,0.495387556923032,12.683373288998052,1.486162670769096,filter_L70,160
DYNAMIC,32,1,FLAT,4.0,7630,3,300.0,1.0,0.1,25.0,0.08916100452728455,0.08916100452728455,WK_REG,2.0,31.206351584549594,0.2,4.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.965081267639675,24.965081267639675,0.0,0.1,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,70.0,0.05,150,1.0067157787023107,6.241270316909919,4.026863114809243,"filter_kh, filter_L70",226
DYNAMIC,32,1,FLAT,4.0,7630,3,300.0,1.0,0.1,25.0,0.08916100452728455,0.08916100452728455,WK_REG,2.0,31.206351584549594,0.2,4.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.965081267639675,24.965081267639675,0.0,0.2,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,70.0,0.05,150,1.0067157787023107,6.241270316909919,4.026863114809243,"filter_kh, filter_L70",227
DYNAMIC,32,1,FLAT,4.0,7630,3,300.0,1.0,0.1,25.0,0.08916100452728455,0.08916100452728455,WK_REG,2.0,31.206351584549594,0.2,4.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.965081267639675,24.965081267639675,0.0,0.3,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,70.0,0.05,150,1.0067157787023107,6.241270316909919,4.026863114809243,"filter_kh, filter_L70",228
DYNAMIC,32,1,FLAT,4.0,7630,3,300.0,1.0,0.1,25.0,0.08916100452728455,0.08916100452728455,WK_REG,2.0,31.206351584549594,0.2,4.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.965081267639675,24.965081267639675,0.0,0.4,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,70.0,0.05,150,1.0067157787023107,6.241270316909919,4.026863114809243,"filter_kh, filter_L70",229
DYNAMIC,32,1,FLAT,4.0,7630,3,300.0,1.0,0.1,25.0,0.08916100452728455,0.08916100452728455,WK_REG,2.0,31.206351584549594,0.2,4.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.965081267639675,24.965081267639675,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,70.0,0.05,150,1.0067157787023107,6.241270316909919,4.026863114809243,"filter_kh, filter_L70",230
