Mglob,Nglob,DX,DY,TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,Cd_regional,FRICTION_MATRIX,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,PI_6,PI_7,EPSILON,TAU_1,k,L,kh,RESULT_FOLDER,ITER,COMBO_NUM,DEPTH_FILE,FRICTION_FILE
7631,3,0.24062567548909344,0.24062567548909344,input_00034,32,1,FLAT,1.0,1100.0,1.0,0.1,25.0,WK_REG,5.5,84.2189864211827,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,67.37518913694616,67.37518913694616,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/stations/stations_00034.txt,50,4,1.0,50.0,50.0,4,1.333,25.0,0.05,2,0.37302665195690626,16.84379728423654,0.37302665195690626,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/output_raw/out_raw_00034/,34,34,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/bathy/bathy_00034.txt,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/friction/friction_00034.txt
7631,3,0.24062567548909344,0.24062567548909344,input_00035,32,1,FLAT,1.0,1100.0,1.0,0.1,25.0,WK_REG,5.5,84.2189864211827,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,67.37518913694616,67.37518913694616,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/stations/stations_00035.txt,50,4,1.0,50.0,50.0,4,4.375,25.0,0.05,2,0.37302665195690626,16.84379728423654,0.37302665195690626,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/output_raw/out_raw_00035/,35,35,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/bathy/bathy_00035.txt,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/friction/friction_00035.txt
7631,3,0.24062567548909344,0.24062567548909344,input_00036,32,1,FLAT,1.0,1100.0,1.0,0.1,25.0,WK_REG,5.5,84.2189864211827,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,67.37518913694616,67.37518913694616,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/stations/stations_00036.txt,50,4,1.0,50.0,50.0,4,0.028,25.0,0.05,2,0.37302665195690626,16.84379728423654,0.37302665195690626,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/output_raw/out_raw_00036/,36,36,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/bathy/bathy_00036.txt,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/friction/friction_00036.txt
7631,3,0.24062567548909344,0.24062567548909344,input_00037,32,1,FLAT,1.0,1100.0,1.0,0.1,25.0,WK_REG,5.5,84.2189864211827,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,67.37518913694616,67.37518913694616,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/stations/stations_00037.txt,50,4,1.0,50.0,50.0,4,0.442,25.0,0.05,2,0.37302665195690626,16.84379728423654,0.37302665195690626,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/output_raw/out_raw_00037/,37,37,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/bathy/bathy_00037.txt,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/friction/friction_00037.txt
7631,3,0.24062567548909344,0.24062567548909344,input_00038,32,1,FLAT,1.0,1100.0,1.0,0.1,25.0,WK_REG,5.5,84.2189864211827,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,67.37518913694616,67.37518913694616,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/stations/stations_00038.txt,50,4,1.0,50.0,50.0,4,0.966,25.0,0.05,2,0.37302665195690626,16.84379728423654,0.37302665195690626,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/output_raw/out_raw_00038/,38,38,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/bathy/bathy_00038.txt,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/friction/friction_00038.txt
7631,3,0.24062567548909344,0.24062567548909344,input_00039,32,1,FLAT,1.0,1100.0,1.0,0.1,25.0,WK_REG,5.5,84.2189864211827,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,67.37518913694616,67.37518913694616,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/stations/stations_00039.txt,50,4,1.0,50.0,50.0,4,1.333,25.0,0.05,2,0.37302665195690626,16.84379728423654,0.37302665195690626,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/output_raw/out_raw_00039/,39,39,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/bathy/bathy_00039.txt,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/friction/friction_00039.txt
7631,3,0.24062567548909344,0.24062567548909344,input_00040,32,1,FLAT,1.0,1100.0,1.0,0.1,25.0,WK_REG,5.5,84.2189864211827,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,67.37518913694616,67.37518913694616,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/stations/stations_00040.txt,50,4,1.0,50.0,50.0,4,4.375,25.0,0.05,2,0.37302665195690626,16.84379728423654,0.37302665195690626,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/output_raw/out_raw_00040/,40,40,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/bathy/bathy_00040.txt,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/friction/friction_00040.txt
7631,3,0.24062567548909344,0.24062567548909344,input_00041,32,1,FLAT,1.0,1100.0,1.0,0.1,25.0,WK_REG,5.5,84.2189864211827,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,67.37518913694616,67.37518913694616,0.0,5.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/stations/stations_00041.txt,50,4,1.0,50.0,50.0,4,0.028,25.0,0.05,2,0.37302665195690626,16.84379728423654,0.37302665195690626,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/output_raw/out_raw_00041/,41,41,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/bathy/bathy_00041.txt,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/friction/friction_00041.txt
7631,3,0.24062567548909344,0.24062567548909344,input_00042,32,1,FLAT,1.0,1100.0,1.0,0.1,25.0,WK_REG,5.5,84.2189864211827,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,67.37518913694616,67.37518913694616,0.0,5.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/stations/stations_00042.txt,50,4,1.0,50.0,50.0,4,0.442,25.0,0.05,2,0.37302665195690626,16.84379728423654,0.37302665195690626,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/output_raw/out_raw_00042/,42,42,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/bathy/bathy_00042.txt,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/friction/friction_00042.txt
7631,3,0.24062567548909344,0.24062567548909344,input_00043,32,1,FLAT,1.0,1100.0,1.0,0.1,25.0,WK_REG,5.5,84.2189864211827,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,67.37518913694616,67.37518913694616,0.0,5.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/stations/stations_00043.txt,50,4,1.0,50.0,50.0,4,0.966,25.0,0.05,2,0.37302665195690626,16.84379728423654,0.37302665195690626,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/output_raw/out_raw_00043/,43,43,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/bathy/bathy_00043.txt,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/friction/friction_00043.txt
7631,3,0.24062567548909344,0.24062567548909344,input_00044,32,1,FLAT,1.0,1100.0,1.0,0.1,25.0,WK_REG,5.5,84.2189864211827,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,67.37518913694616,67.37518913694616,0.0,5.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/stations/stations_00044.txt,50,4,1.0,50.0,50.0,4,1.333,25.0,0.05,2,0.37302665195690626,16.84379728423654,0.37302665195690626,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/output_raw/out_raw_00044/,44,44,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/bathy/bathy_00044.txt,/lustre/scratch/rschanta/USACE/Flat_Tank/CD_Study/friction/friction_00044.txt
