TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,Mglob,Nglob,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,DX,DY,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,Cd_regional,FRICTION_MATRIX,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,PI_6,PI_7,EPSILON,TAU_1,k,L,kh,failed_checks,COMBO_NUM
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.028,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,261
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.442,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,262
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.966,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,263
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,1.333,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,264
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,4.375,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,265
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,5.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.028,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,266
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,5.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.442,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,267
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,5.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.966,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,268
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,5.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,1.333,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,269
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,5.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,4.375,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,270
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,10.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.028,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,271
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,10.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.442,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,272
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,10.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.966,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,273
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,10.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,1.333,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,274
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,10.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,4.375,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,275
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,0.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.028,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,376
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,0.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.442,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,377
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,0.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.966,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,378
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,0.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,1.333,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,379
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,0.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,4.375,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,380
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.028,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,381
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.442,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,382
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.966,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,383
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,1.333,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,384
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,4.375,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,385
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.028,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,386
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.442,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,387
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.966,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,388
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,1.333,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,389
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,2.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,4.375,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,390
DYNAMIC,32,1,FLAT,7.0,7630,3,400.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,5.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.028,25.0,0.05,2,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,391
