TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,Mglob,Nglob,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,DX,DY,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,THORN_1,EPSILON,TAU_1,k,L,kh,failed_checks,COMBO_NUM
DYNAMIC,32,1,FLAT,7.0,3815,3,300.0,1.0,0.1,25.0,0.17843515508250224,0.17843515508250224,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,273
DYNAMIC,32,1,FLAT,7.0,9265,3,450.0,1.0,0.1,25.0,0.16469905345414942,0.16469905345414942,WK_REG,3.0,69.9970977180135,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,55.9976781744108,55.9976781744108,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,0.4488175590144955,13.9994195436027,3.1417229131014683,filter_kh,274
DYNAMIC,32,1,FLAT,7.0,5450,3,450.0,1.0,0.1,25.0,0.279988390872054,0.279988390872054,WK_REG,3.0,69.9970977180135,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,55.9976781744108,55.9976781744108,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,0.4488175590144955,13.9994195436027,3.1417229131014683,filter_kh,275
DYNAMIC,32,1,FLAT,7.0,3815,3,450.0,1.0,0.1,25.0,0.39998341553150574,0.39998341553150574,WK_REG,3.0,69.9970977180135,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,55.9976781744108,55.9976781744108,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,0.4488175590144955,13.9994195436027,3.1417229131014683,filter_kh,276
DYNAMIC,32,1,FLAT,10.0,9265,3,300.0,1.0,0.1,25.0,0.07347341110737664,0.07347341110737664,WK_REG,2.0,31.22619972063507,0.5,10.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959776508055,24.980959776508055,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,1.0060758855371532,6.245239944127014,10.060758855371532,filter_kh,316
DYNAMIC,32,1,FLAT,10.0,5450,3,300.0,1.0,0.1,25.0,0.12490479888254027,0.12490479888254027,WK_REG,2.0,31.22619972063507,0.5,10.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959776508055,24.980959776508055,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,1.0060758855371532,6.245239944127014,10.060758855371532,filter_kh,317
DYNAMIC,32,1,FLAT,10.0,3815,3,300.0,1.0,0.1,25.0,0.17843542697505754,0.17843542697505754,WK_REG,2.0,31.22619972063507,0.5,10.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959776508055,24.980959776508055,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,1.0060758855371532,6.245239944127014,10.060758855371532,filter_kh,318
DYNAMIC,32,1,FLAT,10.0,9265,3,450.0,1.0,0.1,25.0,0.16527208101093943,0.16527208101093943,WK_REG,3.0,70.24063442964926,0.5,10.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.19250754371941,56.19250754371941,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,0.4472614291000333,14.048126885929852,4.472614291000333,filter_kh,319
DYNAMIC,32,1,FLAT,10.0,5450,3,450.0,1.0,0.1,25.0,0.280962537718597,0.280962537718597,WK_REG,3.0,70.24063442964926,0.5,10.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.19250754371941,56.19250754371941,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,0.4472614291000333,14.048126885929852,4.472614291000333,filter_kh,320
DYNAMIC,32,1,FLAT,10.0,3816,3,450.0,1.0,0.1,25.0,0.40137505388371003,0.40137505388371003,WK_REG,3.0,70.24063442964926,0.5,10.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.19250754371941,56.19250754371941,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,0.4472614291000333,14.048126885929852,4.472614291000333,filter_kh,321
