TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,Mglob,Nglob,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,DX,DY,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,EPSILON,TAU_1,k,L,kh,failed_checks,COMBO_NUM
DYNAMIC,32,1,FLAT,7.0,7630,3,300.0,1.0,0.1,25.0,0.08921757754125112,0.08921757754125112,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,1.0060774185564914,6.245230427887578,7.04254192989544,"filter_kh, filter_L70",91
DYNAMIC,32,1,FLAT,7.0,7630,3,450.0,1.0,0.1,25.0,0.19999170776575287,0.19999170776575287,WK_REG,3.0,69.9970977180135,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,55.9976781744108,55.9976781744108,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.4488175590144955,13.9994195436027,3.1417229131014683,"filter_kh, filter_L70",92
DYNAMIC,32,1,FLAT,7.0,7630,3,600.0,1.0,0.1,25.0,0.3396474912955602,0.3396474912955602,WK_REG,4.0,118.87662195344606,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,95.10129756275686,95.10129756275686,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.26427337873211854,23.775324390689214,1.8499136511248297,filter_L70,93
DYNAMIC,32,1,FLAT,8.0,7631,3,300.0,1.0,0.1,25.0,0.08921769559325829,0.08921769559325829,WK_REG,2.0,31.226193457640402,0.4,8.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980954766112323,24.980954766112323,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,1.0060760873244095,6.245238691528081,8.048608698595276,"filter_kh, filter_L70",106
DYNAMIC,32,1,FLAT,8.0,7631,3,450.0,1.0,0.1,25.0,0.20042979947312145,0.20042979947312145,WK_REG,3.0,70.1504298155925,0.4,8.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.12034385247401,56.12034385247401,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.44783655094462493,14.030085963118502,3.5826924075569995,"filter_kh, filter_L70",107
DYNAMIC,32,1,FLAT,8.0,7631,3,600.0,1.0,0.1,25.0,0.34582474290955334,0.34582474290955334,WK_REG,4.0,121.03866001834368,0.4,8.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,96.83092801467494,96.83092801467494,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.2595528282545162,24.207732003668735,2.0764226260361296,filter_L70,108
DYNAMIC,32,1,FLAT,8.0,7630,3,750.0,1.0,0.1,25.0,0.4984162173464397,0.4984162173464397,WK_REG,5.0,174.4456760712539,0.4,8.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,139.5565408570031,139.5565408570031,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.1800900271272176,34.88913521425078,1.440720217017741,filter_L70,109
DYNAMIC,32,1,FLAT,9.0,7630,3,300.0,1.0,0.1,25.0,0.08921771137719384,0.08921771137719384,WK_REG,2.0,31.22619898201784,0.45,9.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959185614275,24.980959185614275,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,1.0060759093346374,6.245239796403569,9.054683184011736,"filter_kh, filter_L70",121
DYNAMIC,32,1,FLAT,9.0,7630,3,450.0,1.0,0.1,25.0,0.2006122601863903,0.2006122601863903,WK_REG,3.0,70.21429106523661,0.45,9.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.171432852189284,56.171432852189284,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.4474292349788046,14.042858213047321,4.026863114809242,"filter_kh, filter_L70",122
DYNAMIC,32,1,FLAT,9.0,7631,3,600.0,1.0,0.1,25.0,0.3498909382767603,0.3498909382767603,WK_REG,4.0,122.46182839686611,0.45,9.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,97.96946271749289,97.96946271749289,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.25653648118079125,24.492365679373222,2.3088283306271213,filter_L70,123
DYNAMIC,32,1,FLAT,9.0,7630,3,750.0,1.0,0.1,25.0,0.5120244644960653,0.5120244644960653,WK_REG,5.0,179.20856257362286,0.45,9.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,143.36685005889828,143.36685005889828,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.1753037136436579,35.84171251472457,1.5777334227929212,filter_L70,124
DYNAMIC,32,1,FLAT,10.0,7630,3,300.0,1.0,0.1,25.0,0.08921771348752877,0.08921771348752877,WK_REG,2.0,31.22619972063507,0.5,10.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959776508055,24.980959776508055,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,1.0060758855371532,6.245239944127014,10.060758855371532,"filter_kh, filter_L70",136
DYNAMIC,32,1,FLAT,10.0,7631,3,450.0,1.0,0.1,25.0,0.20068752694185502,0.20068752694185502,WK_REG,3.0,70.24063442964926,0.5,10.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.19250754371941,56.19250754371941,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.4472614291000333,14.048126885929852,4.472614291000333,"filter_kh, filter_L70",137
DYNAMIC,32,1,FLAT,10.0,7630,3,600.0,1.0,0.1,25.0,0.3525136092513624,0.3525136092513624,WK_REG,4.0,123.37976323797683,0.5,10.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,98.70381059038147,98.70381059038147,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.2546278717953316,24.675952647595366,2.546278717953316,filter_L70,138
DYNAMIC,32,1,FLAT,10.0,7630,3,750.0,1.0,0.1,25.0,0.5227623944601767,0.5227623944601767,WK_REG,5.0,182.96683806106185,0.5,10.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,146.37347044884947,146.37347044884947,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.17170284445432368,36.59336761221237,1.7170284445432369,filter_L70,139
DYNAMIC,32,1,FLAT,11.0,7630,3,300.0,1.0,0.1,25.0,0.08921771376968196,0.08921771376968196,WK_REG,2.0,31.226199819388686,0.55,11.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.98095985551095,24.98095985551095,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,1.0060758823554137,6.245239963877737,11.06683470590955,"filter_kh, filter_L70",151
DYNAMIC,32,1,FLAT,11.0,7631,3,450.0,1.0,0.1,25.0,0.20071842970974665,0.20071842970974665,WK_REG,3.0,70.25145039841134,0.55,11.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.201160318729066,56.201160318729066,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.4471925683773266,14.050290079682267,4.919118252150593,"filter_kh, filter_L70",152
DYNAMIC,32,1,FLAT,11.0,7631,3,600.0,1.0,0.1,25.0,0.3541763250382986,0.3541763250382986,WK_REG,4.0,123.9617137634045,0.55,11.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,99.16937101072361,99.16937101072361,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.2534324960677691,24.792342752680902,2.7877574567454597,filter_L70,153
DYNAMIC,32,1,FLAT,11.0,7630,3,750.0,1.0,0.1,25.0,0.5311648031990629,0.5311648031990629,WK_REG,5.0,185.90768111967202,0.55,11.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,148.7261448957376,148.7261448957376,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.16898670537273258,37.1815362239344,1.8588537591000585,filter_L70,154
DYNAMIC,32,1,FLAT,11.0,7630,3,900.0,1.0,0.1,25.0,0.7094531667038041,0.7094531667038041,WK_REG,6.0,248.30860834633143,0.55,11.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,198.64688667706514,198.64688667706514,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.12651968349031295,49.661721669266285,1.3917165183934426,filter_L70,155
DYNAMIC,32,1,FLAT,12.0,7631,3,300.0,1.0,0.1,25.0,0.08921771380740602,0.08921771380740602,WK_REG,2.0,31.22619983259211,0.6000000000000001,12.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959866073686,24.980959866073686,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,1.006075881930013,6.2452399665184215,12.072910583160157,"filter_kh, filter_L70",166
DYNAMIC,32,1,FLAT,12.0,7631,3,450.0,1.0,0.1,25.0,0.200731089509149,0.200731089509149,WK_REG,3.0,70.25588132820215,0.6000000000000001,12.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.20470506256172,56.20470506256172,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.4471643646335831,14.05117626564043,5.365972375602997,"filter_kh, filter_L70",167
DYNAMIC,32,1,FLAT,12.0,7631,3,600.0,1.0,0.1,25.0,0.3552161463684437,0.3552161463684437,WK_REG,4.0,124.32565122895528,0.6000000000000001,12.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,99.46052098316423,99.46052098316423,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.25269062518758156,24.865130245791057,3.0322875022509788,filter_L70,168
DYNAMIC,32,1,FLAT,12.0,7631,3,750.0,1.0,0.1,25.0,0.537680410054844,0.537680410054844,WK_REG,5.0,188.18814351919542,0.6000000000000001,12.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,150.55051481535634,150.55051481535634,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.1669389258452059,37.637628703839084,2.003267110142471,filter_L70,169
DYNAMIC,32,1,FLAT,12.0,7631,3,900.0,1.0,0.1,25.0,0.7247641879412277,0.7247641879412277,WK_REG,6.0,253.66746577942968,0.6000000000000001,12.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,202.93397262354375,202.93397262354375,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.12384688923101742,50.73349315588594,1.486162670772209,filter_L70,170
DYNAMIC,32,1,FLAT,13.0,7631,3,300.0,1.0,0.1,25.0,0.08921771381244976,0.08921771381244976,WK_REG,2.0,31.22619983435742,0.65,13.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959867485936,24.980959867485936,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,1.0060758818731366,6.245239966871484,13.078986464350775,"filter_kh, filter_L70",181
DYNAMIC,32,1,FLAT,13.0,7631,3,450.0,1.0,0.1,25.0,0.20073627046500228,0.20073627046500228,WK_REG,3.0,70.25769466275081,0.65,13.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.20615573020064,56.20615573020064,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.4471528234266704,14.05153893255016,5.812986704546715,"filter_kh, filter_L70",182
